player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jaylon Johnson,56259,CB,CHI,6,15,,15.0,6,0,39.6,0,1,0,0,0,0.0
Jeff Okudah,55674,CB,ATL,8,14,,7.0,2,0,39.6,0,2,0,0,0,0.0
Duke Riley,11830,LB,MIA,6,7,,7.0,17,0,39.6,0,1,0,0,0,0.0
Tyler Matakevich,10880,LB,BUF,1,1,,1.0,4,0,39.6,0,1,0,0,0,0.0
Riley Moss,83259,CB,DEN,7,10,,10.0,10,0,39.6,0,1,0,0,0,0.0
Tanner McCalister,76591,CB,CLV,1,14,,14.0,8,0,39.6,0,1,0,0,0,0.0
Marlon Humphrey,11771,CB,BLT,2,22,,22.0,3,0,39.6,0,1,0,0,0,0.0
Denzel Perryman,9481,LB,HST,8,12,,6.0,13,0,39.6,0,2,0,0,0,0.0
Ambry Thomas,56058,CB,SF,4,7,,7.0,28,0,39.6,0,1,0,0,0,0.0
Clark Phillips III,131871,CB,ATL,4,15,,7.5,2,0,39.6,0,2,0,0,0,0.0
Ronnie Harrison,49206,LB,IND,3,6,,3.0,14,0,39.6,0,2,0,0,0,0.0
Innis Gaines,44443,CB,GB,2,6,,3.0,12,0,39.6,0,2,0,0,0,0.0
Kamu Grugier-Hill,10842,LB,CAR,9,22,,22.0,5,1,0.0,0,1,0,0,0,0.0
Jakorian Bennett,129496,CB,LV,6,11,,11.0,23,0,39.6,0,1,0,0,0,0.0
Jaylon Jones,124328,CB,IND,2,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Derrek Pitts Jr.,60785,CB,TB,1,1,,1.0,30,0,39.6,0,1,0,0,0,0.0
Josh Woods,49023,LB,ARZ,10,17,,17.0,1,0,39.6,0,1,0,0,0,0.0
Nick Niemann,43500,LB,LAC,7,15,,15.0,27,0,39.6,0,1,0,0,0,0.0
Vincent Gray,83297,CB,CLV,1,1,,1.0,8,0,39.6,0,1,0,0,0,0.0
Ka'dar Hollman,49446,CB,HST,1,1,,1.0,13,0,39.6,0,1,0,0,0,0.0
Baron Browning,58095,ED,DEN,3,2,,2.0,10,0,39.6,0,1,0,0,0,0.0
Tony Fields II,57698,LB,CLV,3,4,,4.0,8,0,39.6,0,1,0,0,0,0.0
Terell Smith,83302,CB,CHI,4,5,,5.0,6,0,39.6,0,1,0,0,0,0.0
