player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Derrick Brown,43883,DI,CAR,1,1,0,5,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,1,,,4.8,,,0,0,,60.8,0,,0.0,0,0,0.0,0,1,100.0,21,0,0,0,0,0,0,0.0,
Pat Jones II,43974,ED,MIN,15,32,0,18,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,89,1,0,0,0,0,0,,,0,7,5.0,100.0,13.0,5.2,5.2,0,0,0.0,45.3,0,19,30.8,4,0,109.2,5,28,87.5,216,7,2,5,0,51,26,2.0,10.2
Byron Murphy Jr.,44027,CB,MIN,17,702,0,18,1,11.8,62.2,100.0,5.2,3.2,1,5,11.1,66.4,3,34,4.2,1,2,62.6,28,156,22.2,156,5,22,45,1,314,55,2.2,11.2,0,3,7.8,77.2,99.4,10.2,7.9,1,2,3.5,71.3,3,36,24.0,12,2,76.0,44,471,67.1,474,9,35,57,0,431,227,1.0,9.8
Benito Jones,44035,DI,MIA,17,8,0,17,0,,,4.8,,,0,0,,58.5,0,,,0,0,0.0,0,2,25.0,42,0,0,0,0,0,0,0.0,,0,4,,,2.4,,,0,0,,53.8,0,,0.0,0,0,0.0,0,4,50.0,166,1,1,0,0,0,0,0.0,
Adetokunbo Ogundeji,44047,ED,PIT,3,3,0,25,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,21.4,,,0,0,,61.3,0,,,0,0,0.0,0,3,100.0,14,0,0,0,0,0,0,0.0,
Julian Okwara,44152,ED,ARZ,13,41,0,1,0,,,9.1,,,0,0,,40.2,0,,100.0,1,0,0.0,0,3,7.3,33,1,0,0,0,0,0,0.0,,0,2,4.1,85.7,32.0,5.0,4.3,0,1,14.3,67.1,0,15,22.2,2,1,102.4,6,33,80.5,103,3,5,7,0,60,34,2.0,10.0
Quinnen Williams,44216,DI,NYJ,16,5,0,22,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,144,1,0,0,0,0,0,,,0,1,,,1.7,,,0,0,,66.1,0,,40.0,2,0,0.0,0,4,80.0,238,4,2,0,0,0,0,0.0,
Nnamdi Madubuike,44304,DI,BLT,17,12,0,3,1,,,4.4,,,0,0,,60.6,0,,0.0,0,0,0.0,0,9,75.0,206,1,0,0,0,0,0,0.0,,0,0,,,1.0,,,0,0,,63.7,0,,25.0,1,0,0.0,0,3,25.0,292,4,3,0,0,0,0,0.0,
Kyzir White,44485,LB,ARZ,17,512,0,1,1,-1.0,100.0,70.9,19.4,19.4,0,0,0.0,63.9,0,25,14.3,1,0,110.8,5,100,19.5,141,3,5,5,0,53,58,0.5,10.6,0,16,5.3,90.4,84.5,7.0,6.3,0,1,1.9,29.5,1,25,12.8,6,1,104.1,47,344,67.2,407,11,25,52,0,567,322,1.7,12.1
Brian Burns,44522,ED,NYG,17,46,0,21,0,,,3.0,,,0,0,,80.3,0,,,0,0,0.0,0,5,10.9,169,6,0,0,0,0,0,0.0,,0,2,3.7,77.8,12.7,5.1,4.0,1,1,11.1,53.6,0,16,18.2,2,1,98.1,7,36,78.3,284,6,7,9,0,68,45,1.9,9.7
D.J. Wonnum,44550,ED,CAR,8,36,0,5,0,,,1.4,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,2.8,73,3,0,0,0,0,0,0.0,,0,1,11.5,100.0,15.4,10.0,10.0,0,0,0.0,39.2,0,17,50.0,2,0,118.8,2,22,61.1,143,1,1,2,0,29,6,1.5,14.5
Luke Masterson,45046,LB,LV,4,54,0,23,0,-1.0,100.0,64.7,10.0,10.0,0,0,0.0,55.9,0,12,0.0,0,0,116.7,1,11,20.4,17,0,1,1,0,12,13,1.2,12.0,0,0,6.0,40.0,96.9,13.5,5.4,0,0,0.0,29.7,0,10,50.0,3,0,47.9,2,31,57.4,32,1,3,5,0,15,17,0.6,7.5
Jordan Fuller,45326,S,CAR,9,278,0,5,0,7.2,83.3,97.2,12.6,10.5,0,0,0.0,53.8,0,14,0.0,0,0,134.0,5,69,24.8,71,1,4,6,2,40,10,0.6,8.0,0,1,6.5,100.0,98.1,23.8,23.8,1,1,16.7,54.6,0,28,0.0,0,1,158.3,6,153,55.0,156,1,8,6,1,106,70,0.7,17.7
Brandon Stephens,45644,CB,BLT,17,732,0,3,0,13.5,65.8,99.2,8.9,5.8,0,6,15.8,54.8,0,37,8.7,2,2,115.1,25,251,34.3,253,3,21,38,3,291,105,1.3,11.6,0,1,15.3,67.3,99.5,10.2,6.9,1,4,7.7,47.8,0,33,18.2,6,3,103.3,35,379,51.8,381,4,26,52,1,483,133,1.3,13.8
Blake Lynch,47621,LB,KC,1,4,0,16,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,63.0,0,,,0,0,0.0,0,4,100.0,4,0,0,0,0,0,0,0.0,
Da'Shawn Hand,48386,DI,MIA,17,2,0,17,0,,,2.7,,,0,0,,58.9,0,,,0,0,0.0,0,2,100.0,73,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.2,0,,0.0,0,0,0.0,0,0,0.0,203,1,2,0,0,0,0,,
Jalyn Holmes,48400,DI,WAS,16,5,0,32,0,,,2.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,40,1,0,0,0,0,0,0.0,,0,0,8.5,50.0,6.3,4.0,2.0,0,0,0.0,46.1,0,4,,0,0,56.3,1,4,80.0,64,0,0,2,0,4,1,1.0,4.0
Kentavius Street,48404,DI,ATL,13,1,0,2,0,,,4.3,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,100.0,23,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,76.8,0,,0.0,0,0,0.0,0,0,0.0,95,2,1,0,0,0,0,,
Anthony Nelson,48405,ED,TB,17,91,0,30,0,2.0,100.0,5.6,4.0,4.0,0,0,0.0,54.2,0,7,0.0,0,0,95.8,1,4,4.4,71,1,1,1,0,7,5,1.8,7.0,0,3,5.2,80.0,28.8,10.1,8.1,0,1,10.0,63.8,0,9,8.3,1,1,117.5,8,84,92.3,292,5,8,10,1,42,21,0.5,5.3
Jonathan Greenard,48407,ED,MIN,17,88,0,18,0,,,8.5,,,0,0,,80.7,0,,40.0,2,0,0.0,0,12,13.6,142,4,3,0,0,0,0,0.0,,0,0,1.0,69.2,16.9,7.4,5.2,0,0,0.0,57.2,0,16,42.9,6,0,75.8,9,69,78.4,409,15,8,13,0,50,45,0.7,5.6
Mike Danna,48415,ED,KC,13,26,0,16,0,,,6.9,,,0,0,,63.4,0,,,0,0,0.0,0,6,23.1,87,0,0,0,0,0,0,0.0,,0,2,-1.5,50.0,8.2,11.0,5.5,0,0,0.0,66.8,0,7,16.7,1,0,58.3,1,15,57.7,184,6,3,2,0,7,11,0.6,7.0
Demone Harris,48452,ED,ATL,9,37,0,2,0,,,4.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.7,25,0,0,0,0,0,0,0.0,,0,2,7.7,66.7,29.9,12.5,8.3,0,1,33.3,81.0,0,9,0.0,0,1,78.5,2,26,70.3,87,1,2,3,0,15,26,0.6,7.5
James Smith-Williams,48455,ED,ATL,10,28,0,2,1,,,9.7,,,0,0,,78.8,0,,0.0,0,0,0.0,0,3,10.7,31,0,0,0,0,0,0,0.0,,0,1,-6.0,100.0,19.1,16.0,16.0,0,0,0.0,75.6,0,4,20.0,1,0,83.3,1,18,64.3,94,4,3,1,0,4,10,0.3,4.0
Sam Hubbard,48457,ED,CIN,14,28,0,7,1,0.0,100.0,6.2,3.0,3.0,0,0,0.0,59.1,0,16,33.3,1,0,118.8,1,4,14.3,65,1,1,1,0,16,16,5.3,16.0,0,1,1.3,75.0,12.6,7.3,5.5,0,0,0.0,63.5,1,23,40.0,2,0,55.2,3,22,78.6,175,3,2,4,0,29,26,1.3,9.7
Carl Granderson,48500,ED,NO,17,32,0,20,0,8.0,50.0,12.4,19.0,9.5,0,1,50.0,76.3,0,36,50.0,2,0,135.4,1,21,65.6,169,3,2,2,1,36,33,1.9,36.0,0,0,,,2.5,,,0,0,,74.9,0,,28.6,2,0,0.0,0,8,25.0,317,6,5,0,0,0,0,0.0,
Oshane Ximines,48538,ED,NE,2,2,0,19,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,25.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,100.0,8,0,0,0,0,0,0,0.0,
Dorance Armstrong,48557,ED,WAS,16,14,0,32,0,,,1.4,,,0,0,,78.6,0,,0.0,0,0,0.0,0,2,14.3,145,4,2,0,0,0,0,0.0,,0,3,3.3,75.0,5.8,4.0,3.0,0,0,0.0,66.2,0,11,22.2,2,0,82.3,3,12,85.7,208,4,4,4,0,17,7,1.4,5.7
Harold Landry III,48600,ED,TEN,17,89,0,31,0,,,3.3,,,0,0,,64.4,0,,0.0,0,0,0.0,0,4,4.5,121,1,1,0,0,0,0,0.0,,0,5,4.5,100.0,20.8,10.5,10.5,0,1,16.7,67.0,0,22,13.3,2,1,111.1,6,64,71.9,308,7,8,6,0,64,37,1.0,10.7
Harrison Phillips,48690,DI,MIN,17,4,0,18,0,,,3.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,31,0,0,0,0,0,0,0.0,,0,2,6.0,100.0,0.7,2.0,2.0,0,0,0.0,59.2,0,17,20.0,1,0,118.8,1,2,50.0,296,3,2,1,0,17,11,8.5,17.0
Daron Payne,48698,DI,WAS,17,1,0,32,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,175,2,0,0,0,0,0,,,0,0,,,0.5,,,0,0,,60.5,0,,33.3,1,0,0.0,0,1,100.0,218,5,2,0,0,0,0,0.0,
Greg Gaines,48706,DI,TB,15,6,0,30,0,,,2.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,38,0,0,0,0,0,0,0.0,,0,0,,,2.0,,,0,0,,65.5,0,,,0,0,0.0,0,4,66.7,196,1,0,0,0,0,0,0.0,
Taven Bryan,48753,DI,IND,17,2,0,14,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,14,0,0,0,0,0,0,,,0,1,,,0.8,,,0,0,,60.1,0,,0.0,0,0,0.0,0,1,50.0,126,1,0,0,0,0,0,0.0,
Poona Ford,48875,DI,LAC,17,2,0,27,0,,,1.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,55,0,0,0,0,0,0,0.0,,0,1,,,0.4,,,0,0,,69.3,1,,28.6,2,0,0.0,0,1,50.0,237,6,4,0,0,0,0,0.0,
Vita Vea,48956,DI,TB,16,9,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,88,0,0,0,0,0,0,,,0,0,4.0,100.0,2.2,7.0,7.0,0,0,0.0,54.9,0,6,66.7,2,0,91.7,1,8,88.9,364,7,1,1,0,6,2,0.9,6.0
Nick Scott,49012,S,CAR,6,174,0,5,2,3.8,100.0,100.0,8.8,8.8,0,0,0.0,51.5,0,12,40.0,2,0,138.5,4,39,22.4,39,0,1,4,1,31,16,0.9,7.8,0,2,10.6,66.7,99.1,17.0,11.3,0,0,0.0,58.9,0,19,14.3,2,0,86.3,6,111,63.8,112,3,10,9,0,62,22,0.6,10.3
Justin Reid,49048,S,KC,16,602,0,16,1,8.6,84.6,90.3,7.5,6.4,0,1,3.8,66.3,1,58,0.0,0,0,137.8,22,176,29.2,195,10,19,26,3,304,140,1.8,13.8,0,7,6.3,70.8,93.6,17.6,12.5,1,2,8.3,75.9,1,43,3.8,1,2,83.7,17,321,53.3,343,7,18,24,1,150,73,0.5,8.8
Tre Flowers,49059,CB,IND,2,12,0,14,0,-1.0,100.0,66.7,6.0,6.0,0,0,0.0,51.6,0,6,50.0,1,0,91.7,1,6,50.0,9,0,1,1,0,6,7,1.0,6.0,0,0,7.0,100.0,100.0,2.0,2.0,0,0,0.0,49.2,0,10,0.0,0,0,106.3,2,6,50.0,6,2,2,2,0,19,5,4.8,9.5
Khaleke Hudson,49073,LB,CLV,2,1,0,8,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,2,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Jalen Thompson,49116,S,ARZ,15,542,0,1,1,5.6,78.6,93.6,11.5,9.1,0,1,7.1,55.3,0,17,0.0,0,0,112.5,11,131,24.2,140,3,15,14,1,74,23,0.6,6.7,0,4,7.7,86.4,96.9,17.5,15.1,0,2,9.1,64.5,0,24,2.8,1,0,104.0,19,348,64.2,359,4,31,22,0,197,99,0.6,10.4
Ryan Neal,49132,S,TB,2,12,0,30,0,,,100.0,,,0,0,,61.3,0,,,0,0,0.0,0,2,16.7,2,0,0,0,0,0,0,0.0,,0,1,,,83.3,,,0,0,,65.0,0,,0.0,0,0,0.0,0,10,83.3,12,0,1,0,0,0,0,0.0,
Jessie Bates III,49162,S,ATL,17,671,0,2,3,4.7,66.7,97.0,14.9,9.9,1,3,25.0,80.4,1,10,14.3,2,3,78.5,8,128,19.1,132,4,9,12,3,46,9,0.4,5.8,0,6,2.4,81.0,98.7,21.2,17.2,0,2,9.5,59.7,1,22,10.5,4,2,71.2,17,380,56.6,385,12,28,21,0,123,95,0.3,7.2
Ezekiel Turner,49167,LB,DET,7,76,0,11,0,10.5,100.0,80.0,17.0,17.0,0,0,0.0,46.1,0,31,0.0,0,0,158.3,2,36,47.4,45,1,1,2,1,36,15,1.1,18.0,0,0,7.0,100.0,97.0,14.5,14.5,0,0,0.0,53.9,0,18,0.0,0,0,118.8,2,32,42.1,33,1,1,2,0,28,14,1.0,14.0
Elijah Campbell,49190,S,MIA,11,52,0,17,0,2.0,50.0,87.5,13.0,6.5,0,0,0.0,73.2,0,-1,0.0,0,0,56.3,1,14,26.9,16,1,2,2,0,-1,5,-0.1,-1.0,0,2,7.0,100.0,100.0,29.0,29.0,0,0,0.0,53.1,0,5,28.6,2,0,87.5,1,29,55.8,29,0,3,1,0,5,-2,0.2,5.0
Jordan Whitehead,49196,S,TB,12,456,0,30,1,4.0,100.0,91.9,12.0,12.0,0,0,0.0,46.7,0,23,0.0,0,0,148.8,5,68,14.9,74,2,7,5,2,51,36,0.9,10.2,0,3,10.8,65.2,92.0,22.3,14.6,1,3,13.0,55.3,0,59,9.1,2,3,97.0,15,345,75.7,375,2,17,23,0,224,91,0.7,14.9
Demetrius Flannigan-Fowles,49231,LB,SF,7,58,0,28,0,3.0,100.0,80.0,10.0,10.0,0,0,0.0,41.3,1,50,,0,0,79.2,1,12,20.7,15,0,0,1,0,50,47,5.0,50.0,0,0,2.0,100.0,89.6,10.8,10.8,0,1,25.0,33.5,0,12,50.0,2,1,109.4,4,43,74.1,48,0,2,4,0,41,33,1.0,10.3
Andrew Wingard,49268,S,JAX,5,129,0,15,1,7.5,50.0,96.1,44.0,22.0,0,0,0.0,66.1,0,7,25.0,1,0,58.3,1,49,38.0,51,0,2,2,0,7,2,0.2,7.0,0,1,10.0,20.0,100.0,64.0,12.8,0,3,60.0,79.0,0,6,0.0,0,2,39.6,1,67,51.9,67,0,2,5,0,6,7,0.1,6.0
Carlton Davis III,49335,CB,DET,13,468,0,11,0,11.6,55.9,100.0,9.5,5.3,0,5,14.7,52.6,0,63,7.7,1,3,109.1,19,209,44.7,209,2,12,34,2,333,153,1.9,17.5,0,1,9.1,66.7,100.0,11.3,7.5,1,3,11.1,82.4,2,28,8.7,2,2,58.6,18,215,45.9,215,7,20,27,0,206,28,1.0,11.4
Kindle Vildor,49346,CB,DET,13,163,0,11,0,13.1,40.0,100.0,12.8,5.1,0,1,6.7,51.8,0,12,0.0,0,1,47.9,6,86,52.8,86,2,5,15,0,40,35,0.5,6.7,0,1,21.8,60.0,98.5,19.7,11.8,0,1,20.0,57.0,0,39,25.0,1,1,104.2,3,64,39.3,65,1,2,5,0,67,33,1.1,22.3
Jaire Alexander,49350,CB,GB,7,232,0,12,0,14.6,44.4,100.0,13.5,6.0,1,2,22.2,64.7,0,67,20.0,1,2,120.1,4,59,25.4,59,0,4,9,1,95,48,1.8,23.8,0,1,11.4,60.0,100.0,15.2,9.1,0,1,6.7,88.6,2,25,10.0,1,1,70.8,9,141,60.8,141,1,8,15,1,130,46,0.9,14.4
Ugo Amadi,49352,CB,NO,11,323,0,20,0,11.6,65.2,93.1,6.0,3.9,0,2,8.7,32.8,0,33,0.0,0,2,119.5,15,94,29.1,101,3,12,23,2,188,40,2.1,12.5,0,2,5.4,77.8,93.3,6.6,5.2,0,4,11.1,64.4,0,34,20.0,6,2,98.1,28,194,60.1,208,12,22,36,0,272,140,1.5,9.7
Greg Stroman Jr.,49354,CB,NYG,3,69,0,21,0,8.0,75.0,100.0,6.3,4.8,0,0,0.0,68.9,0,22,0.0,0,0,102.1,3,19,27.5,19,1,3,4,0,36,7,1.9,12.0,0,1,13.3,71.4,88.5,8.8,6.3,0,1,14.3,52.9,0,21,25.0,1,0,141.7,5,46,66.7,52,0,2,7,1,68,36,1.5,13.6
Isaac Yiadom,49355,CB,SF,15,320,0,28,0,13.9,64.3,100.0,8.1,5.2,0,3,21.4,42.4,0,37,10.0,1,3,125.0,9,80,25.0,80,0,9,14,1,153,45,2.1,17.0,0,3,9.0,66.7,100.0,13.2,8.8,0,0,0.0,59.4,0,26,5.3,1,0,88.6,14,192,60.0,192,3,15,21,0,156,38,0.8,11.1
Chris Lammons,49368,CB,IND,5,65,0,14,0,-4.0,100.0,100.0,10.0,10.0,0,0,0.0,47.1,0,28,,0,0,118.8,1,10,15.4,10,0,0,1,0,28,32,2.8,28.0,0,0,3.6,88.9,92.3,4.5,4.0,0,0,0.0,41.0,0,17,0.0,0,0,100.5,8,36,55.4,39,1,5,9,0,73,38,2.0,9.1
C.J. Gardner-Johnson,49371,S,PHI,16,579,0,24,1,7.7,66.7,100.0,10.8,7.2,0,2,11.1,71.4,2,41,16.7,2,2,89.1,12,147,25.4,147,2,9,18,5,136,62,1.0,11.3,0,2,7.0,80.0,100.0,36.3,29.0,0,0,0.0,68.3,4,28,20.0,3,0,64.2,8,302,52.2,302,3,10,10,0,89,68,0.3,11.1
Jaylon Jones,49374,CB,CHI,3,56,0,6,0,8.6,60.0,100.0,3.0,1.8,0,1,20.0,62.2,0,14,0.0,0,1,77.9,3,9,16.1,9,0,3,5,0,31,5,3.4,10.3,0,2,8.4,80.0,100.0,9.5,7.6,0,1,20.0,71.6,0,24,0.0,0,1,104.2,4,38,67.9,38,0,5,5,0,45,8,1.2,11.3
Donte Jackson,49377,CB,PIT,15,506,0,25,0,12.4,64.0,100.0,9.0,5.8,1,1,4.0,39.2,1,49,18.2,2,0,119.5,16,167,33.0,167,2,9,25,3,247,80,1.7,15.4,0,2,13.1,50.0,100.0,21.3,10.7,1,3,11.5,65.1,4,29,22.7,5,3,28.2,13,288,56.9,288,4,15,26,0,150,95,0.5,11.5
Cam Lewis,49395,S,BUF,17,390,0,4,2,5.9,78.6,86.1,7.2,5.6,0,2,14.3,65.0,1,21,7.7,1,0,74.4,11,87,22.3,101,3,10,14,0,126,69,1.6,11.5,0,5,3.9,80.6,94.6,7.7,6.2,1,2,5.6,60.6,0,19,21.6,8,2,102.7,29,229,58.7,242,12,24,36,1,231,151,1.0,8.0
M.J. Stewart,49397,S,HST,8,57,0,13,0,12.5,0.0,91.7,,3.5,0,0,0.0,46.2,0,,,0,0,39.6,0,11,19.3,12,0,0,2,0,0,0,0.0,,0,0,,,100.0,,,0,0,,66.2,0,,0.0,0,0,0.0,0,36,63.2,36,0,2,0,0,0,0,0.0,
Donovan Wilson,49408,S,DAL,17,549,0,9,3,4.2,100.0,90.7,11.3,11.3,0,0,0.0,64.4,0,43,20.0,2,0,158.3,12,146,26.6,161,3,5,12,2,162,113,1.2,13.5,0,4,5.5,85.0,92.5,18.8,16.0,1,2,10.0,60.4,1,27,15.0,3,2,112.9,17,343,62.5,371,9,13,20,2,162,74,0.5,9.5
Julian Blackmon,49434,S,IND,16,613,0,14,0,0.5,50.0,97.7,79.0,39.5,0,0,0.0,65.9,1,9,40.0,2,0,62.5,1,85,13.9,87,0,3,2,1,9,6,0.1,9.0,0,3,12.8,75.0,97.3,46.6,34.9,2,1,8.3,76.8,1,38,8.1,3,1,81.9,9,437,71.3,449,4,31,12,0,157,77,0.4,17.4
Ka'dar Hollman,49446,CB,HST,3,82,0,13,0,23.0,100.0,100.0,5.0,5.0,0,0,0.0,30.4,0,29,0.0,0,0,118.8,1,7,8.5,7,0,1,1,0,29,6,5.8,29.0,0,0,9.0,60.0,100.0,16.3,9.8,0,1,20.0,66.9,0,9,0.0,0,1,65.4,3,49,59.8,49,1,6,5,0,16,3,0.3,5.3
Taron Johnson,49511,CB,BUF,12,403,0,4,1,11.8,64.3,96.7,8.6,5.5,0,1,7.1,43.1,0,52,16.7,1,1,128.0,9,88,21.8,91,0,4,14,1,163,43,2.1,18.1,0,4,4.7,71.4,97.1,8.8,6.3,0,2,5.7,73.7,2,18,3.7,1,2,79.5,25,235,58.3,242,9,22,35,2,190,160,0.9,7.6
Nick McCloud,49535,CB,SF,9,124,0,28,0,12.8,83.3,97.0,6.2,5.2,0,1,16.7,41.9,0,36,33.3,1,0,158.3,5,32,25.8,33,0,2,6,2,82,33,2.6,16.4,0,3,6.0,91.7,97.4,6.5,6.0,0,0,0.0,47.6,0,41,7.7,1,0,146.5,11,75,60.5,77,2,9,12,1,163,83,2.3,14.8
Denzel Ward,49558,CB,CLV,16,440,0,8,2,14.2,45.2,99.4,10.9,4.9,1,9,29.0,72.6,1,34,13.3,2,9,65.3,14,163,37.0,164,1,11,31,1,210,60,1.4,15.0,0,1,14.9,60.0,99.6,10.7,6.4,1,7,20.0,52.1,1,93,32.0,8,7,107.0,21,234,53.2,235,4,16,35,2,401,175,1.8,19.1
Ashtyn Davis,49560,S,NYJ,13,153,0,22,0,5.5,100.0,91.8,19.5,19.5,0,0,0.0,89.1,2,8,0.0,0,0,79.2,2,45,29.4,49,1,3,2,1,6,3,0.2,3.0,0,0,3.5,83.3,97.6,5.3,4.4,0,0,0.0,48.9,0,34,15.4,2,0,101.9,15,83,54.2,85,4,11,18,0,152,108,1.9,10.1
Rock Ya-Sin,49564,CB,SF,4,32,0,28,0,8.0,100.0,100.0,9.0,9.0,0,0,0.0,54.2,0,3,,0,0,118.8,1,10,31.3,10,0,0,1,1,3,0,0.3,3.0,0,0,20.0,0.0,100.0,,16.0,0,1,100.0,39.3,0,,,0,1,39.6,0,20,62.5,20,0,0,1,0,0,0,0.0,
Duke Shelley,49569,CB,NYG,1,13,0,21,0,,,100.0,,,0,0,,65.2,0,,,0,0,0.0,0,5,38.5,5,0,0,0,0,0,0,0.0,,0,0,4.0,100.0,100.0,7.0,7.0,0,0,0.0,66.9,0,6,0.0,0,0,91.7,1,7,53.8,7,1,1,1,0,6,2,0.9,6.0
Zach Allen,49605,DI,DEN,16,8,0,10,0,,,0.0,,,0,0,,57.7,0,,75.0,3,0,0.0,0,0,0.0,223,4,1,0,0,0,0,,,0,1,,,2.4,,,0,0,,62.7,0,,14.3,1,0,0.0,0,8,100.0,332,8,5,0,0,0,0,0.0,
Quincy Williams,49779,LB,NYJ,17,574,0,22,1,8.1,71.4,83.4,29.8,21.3,0,1,14.3,49.1,0,24,33.3,2,0,141.7,5,171,29.8,205,1,3,7,1,68,12,0.5,13.6,0,9,3.3,78.8,88.4,7.0,5.5,0,3,5.8,76.6,0,23,13.2,5,2,100.1,41,312,54.4,353,13,24,52,1,337,260,1.2,8.2
Azeez Al-Shaair,49792,LB,HST,11,322,0,13,0,-7.0,100.0,75.6,59.0,59.0,0,0,0.0,54.8,0,33,50.0,1,0,118.8,1,62,19.3,82,0,1,1,0,33,40,0.6,33.0,0,2,4.9,71.4,95.2,12.7,9.1,1,2,9.5,59.9,0,26,23.5,4,2,97.7,15,197,61.2,207,8,11,21,0,182,113,1.0,12.1
Zaire Franklin,49834,LB,IND,17,596,0,14,2,3.0,100.0,70.7,10.2,10.2,0,0,0.0,71.8,0,17,28.6,2,0,137.5,6,65,10.9,92,2,3,6,1,45,27,0.7,7.5,0,12,5.5,88.7,94.8,8.9,7.9,0,1,1.9,45.6,2,44,19.7,13,1,96.9,47,440,73.8,464,17,41,53,1,504,287,1.2,10.7
Christian Rozeboom,49862,LB,LA,16,434,0,26,0,2.1,87.5,81.0,9.3,8.1,0,0,0.0,44.9,0,31,60.0,3,0,158.3,7,68,15.7,84,1,2,8,1,112,106,1.7,16.0,0,6,2.9,80.0,94.5,8.0,6.4,1,3,7.5,74.0,1,41,9.1,4,3,109.0,32,273,62.9,289,10,34,40,2,346,294,1.4,10.8
B.J. Hill,49894,DI,CIN,15,7,0,7,0,,,2.9,,,0,0,,59.1,0,,0.0,0,0,0.0,0,3,42.9,105,0,1,0,0,0,0,0.0,,0,2,,,1.6,,,0,0,,61.4,0,,33.3,2,0,0.0,0,4,57.1,253,4,2,0,0,0,0,0.0,
Sebastian Joseph-Day,49935,DI,TEN,17,3,0,31,0,,,5.6,,,0,0,,60.3,0,,,0,0,0.0,0,2,66.7,36,1,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,147,2,0,0,0,0,0,,
Jerry Tillery,49949,DI,MIN,17,1,0,18,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,26,0,0,0,0,0,0,,,0,0,,,0.5,,,0,0,,60.0,0,,33.3,1,0,0.0,0,1,100.0,195,0,2,0,0,0,0,0.0,
Derrick Nnadi,49970,DI,KC,17,3,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,24,0,0,0,0,0,0,,,0,0,,,6.1,,,0,0,,57.7,0,,,0,0,0.0,0,3,100.0,49,0,0,0,0,0,0,0.0,
Broderick Washington,50049,DI,BLT,15,11,0,3,0,,,10.9,,,0,0,,56.7,0,,100.0,1,0,0.0,0,10,90.9,92,0,0,0,0,0,0,0.0,,0,0,,,0.7,,,0,0,,65.8,0,,33.3,1,0,0.0,0,1,9.1,138,4,2,0,0,0,0,0.0,
