player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,MIA,17,9,1.8,0,0,17,63.5,82.3,89.9,66.2,85.9,28.2,17.9,10,0,195,202,15.9,31,37
Brandon Graham,5538,ED,PHI,11,4,1.9,0,1,24,51.6,78.6,63.9,71.9,80.1,34.0,11.8,2,1,123,127,5.7,7,11
Kareem Jackson,5545,S,BUF,2,0,,0,0,4,65.9,67.6,90.6,57.1,60.0,80.0,,0,0,2,2,0.0,0,0
Jerry Hughes,5556,ED,HST,7,2,1.0,0,0,13,60.9,51.3,83.8,48.9,55.3,74.5,0.0,0,0,36,36,5.6,2,2
Linval Joseph,5571,DI,DAL,17,4,4.8,0,0,9,79.3,53.1,63.3,77.5,37.6,61.2,6.3,1,1,139,144,5.0,7,11
Von Miller,6154,ED,BUF,11,1,1.4,0,0,4,68.1,82.4,40.3,83.0,62.3,59.3,14.3,1,2,59,60,8.5,5,5
Cameron Jordan,6176,ED,NO,17,9,2.1,0,0,20,73.6,57.4,78.1,54.3,54.5,44.6,16.1,5,1,211,216,6.6,14,17
Cameron Heyward,6183,DI,PIT,17,11,2.7,0,0,25,61.3,90.3,87.0,87.1,79.6,65.4,3.5,2,0,290,300,12.1,35,44
Lawrence Guy Sr.,6385,DI,CIN,4,2,,0,0,7,,51.1,80.2,52.5,52.7,25.2,33.3,1,0,48,49,0.0,0,0
Nick Bellore,6515,LB,WAS,2,0,,0,0,32,79.8,86.2,68.6,60.0,63.2,73.2,,0,0,3,3,0.0,0,0
Stephon Gilmore,7016,CB,MIN,15,2,7.0,0,1,18,60.4,63.9,87.8,58.8,77.6,68.9,25.0,3,5,263,274,0.8,2,7
Bobby Wagner,7050,LB,WAS,17,27,4.3,0,0,32,68.1,89.9,67.3,91.0,90.8,87.2,5.7,6,2,446,452,8.1,36,73
Lavonte David,7060,LB,TB,17,12,2.7,0,2,30,59.5,68.7,85.8,65.7,75.8,45.6,14.5,9,2,342,352,8.8,30,41
Demario Davis,7079,LB,NO,16,27,3.4,0,0,20,63.4,73.2,68.0,66.0,80.2,63.6,12.8,12,2,416,430,8.4,35,55
Rodney McLeod,7271,S,CLV,17,5,4.8,0,0,8,47.2,50.9,82.7,49.7,61.4,56.0,11.1,2,0,243,248,2.5,6,11
Tashaun Gipson Sr.,7288,S,SF,4,1,5.0,0,0,28,60.3,63.1,0.0,,75.8,84.5,0.0,0,1,24,25,8.3,2,4
Harrison Smith,7641,S,MIN,16,4,6.9,0,0,18,64.1,66.2,51.3,54.7,76.5,74.8,9.7,3,2,335,349,3.0,10,24
Darius Slay,7817,CB,PHI,14,5,7.6,3,1,24,68.9,67.6,57.4,,60.2,69.2,13.3,2,6,248,256,1.6,4,8
Johnathan Hankins,7830,DI,SEA,17,7,2.5,1,0,29,64.2,35.9,20.6,55.3,36.2,29.2,15.2,5,4,210,222,7.1,15,21
Tyrann Mathieu,7850,S,NO,17,6,7.8,0,2,20,57.8,60.5,87.7,51.2,65.0,46.9,22.2,8,1,375,389,1.3,5,22
John Jenkins,7863,DI,LV,17,16,2.4,0,0,23,60.6,53.1,87.6,57.5,49.9,46.7,9.8,5,0,328,335,6.4,21,30
William Gholston,7908,DI,TB,15,3,2.0,0,0,30,66.8,65.6,53.0,66.1,58.4,59.0,0.0,0,1,97,99,2.1,2,5
Jordan Poyer,8000,S,MIA,16,13,7.8,0,0,17,61.4,62.5,23.3,58.8,69.4,73.3,7.8,4,3,332,348,2.7,9,34
Tony Jefferson,8361,S,LAC,5,3,9.1,0,0,27,70.3,74.8,79.1,60.0,73.0,73.9,14.3,2,1,97,97,3.1,3,9
Jadeveon Clowney,8636,ED,CAR,14,13,2.7,2,0,5,65.2,70.8,47.2,73.2,63.4,45.3,7.9,3,4,244,255,5.7,14,22
Khalil Mack,8640,ED,LAC,16,2,2.3,0,1,27,81.4,90.4,79.2,79.9,88.0,52.1,18.5,5,1,210,213,7.1,15,20
C.J. Mosley,8652,LB,NYJ,4,2,3.3,0,0,22,61.0,74.7,78.7,38.7,81.6,57.0,16.7,2,0,61,63,8.2,5,8
Jimmie Ward,8665,S,HST,10,6,3.5,0,0,13,73.9,76.1,83.2,47.2,75.6,83.3,9.1,2,1,156,159,3.2,5,14
DeMarcus Lawrence,8669,ED,DAL,4,4,2.9,0,0,9,60.3,56.8,53.1,53.9,62.4,27.9,20.0,3,1,73,75,5.5,4,8
Kyle Van Noy,8675,ED,BLT,16,8,3.5,0,0,3,65.3,75.4,52.1,74.2,68.6,68.4,12.5,3,3,157,161,6.4,10,13
Jordan Matthews,8677,TE,CAR,1,0,,0,0,5,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
DaQuan Jones,8747,DI,BUF,16,6,1.8,0,0,4,67.2,64.6,62.2,73.7,50.3,27.2,22.2,4,2,220,229,2.7,6,8
Brent Urban,8769,DI,BLT,13,2,3.1,0,0,3,61.6,56.1,83.3,54.0,55.7,65.0,5.6,1,0,91,94,12.1,11,15
Shelby Harris,8869,DI,CLV,14,9,1.7,0,1,8,60.5,66.7,72.2,59.7,67.9,62.4,3.4,1,1,250,254,6.8,17,19
Denico Autry,8982,ED,HST,10,3,8.0,2,0,13,55.8,56.0,47.5,61.0,53.8,54.8,10.0,1,2,85,85,3.5,3,6
Shaquil Barrett,9000,ED,TB,1,0,,0,0,30,79.3,62.1,73.3,52.9,60.0,72.0,,0,0,2,2,0.0,0,0
C.J. Goodwin,9243,CB,DAL,1,0,,0,0,9,60.2,61.4,99.9,60.0,60.0,,,0,0,3,3,0.0,0,0
Mike Pennel,9316,DI,KC,17,9,1.9,0,0,16,55.1,65.2,64.7,58.7,70.2,76.0,0.0,0,1,163,170,6.1,10,13
Dante Fowler Jr.,9436,ED,WAS,17,4,1.8,0,0,32,81.4,62.1,42.4,65.9,50.0,29.1,22.2,6,4,197,199,5.6,11,17
Leonard Williams,9439,DI,SEA,16,9,1.6,1,0,29,72.2,87.1,49.0,72.3,79.5,52.9,8.9,4,4,244,261,10.7,26,32
Arik Armstead,9450,ED,JAX,17,1,2.5,2,0,15,63.8,68.7,42.4,70.0,62.0,45.6,15.0,3,4,178,187,6.7,12,16
